RealShit,AAMC3_CP,AAMC3_CARS,AAMC3_BB,AAMC3_PS,AAMC2_CP,AAMC2_CARS,AAMC2_BB,AAMC2_PS,AAMC1_CP,AAMC1_CARS,AAMC1_BB,AAMC1_PS,AAMCsamp_CP,AAMCsamp_CARS,AAMCsamp_BB,AAMCsamp_PS
520,,,,,,,,,,,,,,,,
498,128,123,126,126,128,122,125,124,127,124,126,127,,,,
519,130,129,130,128,129,132,131,127,127,128,128,125,,,,
517,131,126,127,128,130,124,130,126,129,128,129,128,,,,
522,,,,,,,,,,,,,,,,
517,128,130,130,132,,,,,,,,,,,,
520,130,128,131,130,129,128,130,127,130,127,130,127,,,,
509,,,,,,,,,,,,,,,,
516,127,127,131,129,127,129,130,128,128,127,128,129,70,91,92,83
520,,,,,,,,,,,,,,,,
515,130,125,125,126,127,123,127,127,127,124,127,125,68,83,71,69
521,132,130,132,128,130,128,132,130,130,130,131,132,,,,
516,,,,,,,,,,,,,,,,
513,128,127,130,130,130,126,126,129,128,123,129,129,58,87,69,83
501,,,,,,,,,,,,,,,,
513,129,124,129,129,127,122,127,127,,,,,,,,
518,129,128,129,127,130,128,128,126,128,128,128,126,,,,
514,,,,,,,,,,,,,,,,
511,128,129,127,128,127,127,126,128,126,126,126,127,,,,
499,,,,,,,,,124,128,125,125,,,,
518,129,127,131,128,130,126,131,127,129,127,129,129,,,,
514,129,130,126,128,128,132,129,126,129,130,129,127,78,96,75,81
513,130,127,128,129,129,128,129,128,128,128,129,128,81,85,83,83
519,129,131,128,130,129,130,130,127,129,129,130,127,66,92,83,81
496,,,,,,,,,,,,,,,,
525,,,,,,,,,,,,,,,,
508,126,124,130,127,126,123,129,127,,,,,,,,
510,,,,,,,,,,,,,,,,
510,,,,,,,,,,,,,,,,
504,126,127,126,132,127,130,127,129,126,125,125,126,64,94,86,95
498,125,124,122,125,,,,,,,,,,,,
514,129,128,129,130,,,,,,,,,,,,
510,126,127,129,130,126,127,127,127,124,124,126,125,,,,
518,,,,,,,,,,,,,,,,
510,129,127,130,129,128,124,130,127,127,128,128,126,,,,
524,129,129,131,131,131,130,131,130,129,130,130,130,86,94,88,85
510,127,124,128,125,,,,,,,,,,,,
516,,,,,,,,,,,,,,,,
504,,,,,,,,,,,,,,,,
526,131,130,127,130,130,129,128,128,129,129,127,127,72,81,59,80
492,,,,,,,,,,,,,,,,
511,129,125,128,128,,,,,,,,,70,92,81,76
510,128,126,128,128,129,125,127,125,128,126,127,126,,,,
524,,,,,,,,,,,,,,,,
517,129,126,131,128,131,127,130,130,131,128,130,129,86,81,90,90
526,132,131,132,132,132,130,132,130,131,131,130,127,,,,
519,,,,,,,,,,,,,,,,
516,131,127,128,130,129,125,128,126,128,128,126,127,,,,
510,129,129,130,126,127,127,126,126,128,124,125,125,,,,
509,,,,,,,,,,,,,,,,
502,129,125,126,126,128,127,127,124,127,124,125,126,75,94,75,71
524,132,131,132,132,130,132,130,129,130,131,130,129,,,,
517,125,127,127,128,128,130,128,126,128,130,131,129,69,92,85,81
512,128,128,126,129,126,126,127,126,126,124,128,128,,,,
510,,,,,,,,,,,,,,,,
510,127,123,128,127,127,123,128,126,130,126,130,127,,,,
505,,,,,,,,,,,,,,,,
513,130,125,131,129,129,127,131,126,129,124,129,129,63,91,71,61
519,130,127,128,129,130,132,130,129,129,130,131,128,,,,
526,132,130,132,132,131,132,131,130,131,129,132,131,,,,
525,131,127,131,127,,,,,,,,,,,,
510,,,,,,,,,,,,,,,,
497,,,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,,,
506,,,,,,,,,,,,,,,,
514,129,126,130,130,127,124,128,126,128,127,130,128,,,,
489,,,,,,,,,,,,,,,,
515,131,127,131,131,130,128,130,130,129,126,129,129,,,,
521,,,,,,,,,,,,,,,,
523,,,,,,,,,130,130,131,127,,,,
516,,,,,,,,,,,,,,,,
504,,,,,,,,,126,124,128,127,,,,
519,129,129,127,130,129,129,128,129,125,127,127,128,63,85,83,86
517,130,128,126,128,128,130,127,129,127,130,129,129,81,91,76,75
514,,,,,,,,,,,,,,,,
517,,,,,,,,,,,,,,,,
511,126,125,126,129,126,126,128,128,124,125,130,127,41,47,44,52
511,,,,,,,,,,,,,,,,
520,128,128,128,131,128,131,127,130,126,128,126,129,80,91,68,80
511,129,128,129,131,128,124,126,126,128,128,126,127,,,,
502,126,124,122,125,,,,,,,,,,,,
519,131,125,129,129,130,127,128,127,131,127,129,128,85,83,83,85
515,131,126,130,129,128,128,130,128,127,127,129,127,81,85,88,85
519,129,130,130,132,130,129,129,129,129,127,130,132,,,,
498,124,125,124,125,124,122,124,124,123,124,120,123,49,75,75,81
520,,,,,,,,,,,,,,,,
521,130,127,131,128,130,128,130,126,127,128,130,127,85,94,81,88
521,131,131,130,132,131,129,130,127,130,131,129,127,81,92,80,73
524,131,132,132,131,131,132,131,130,131,131,131,129,,,,
509,,,,,,,,,128,128,129,125,,,,
516,128,130,127,126,127,130,127,126,125,127,126,126,,,,
521,130,132,131,132,131,127,130,132,130,130,131,131,86,94,83,92
518,129,130,130,131,,,,,,,,,,,,
514,127,130,125,127,125,128,127,126,127,128,127,127,68,89,67,78
515,,,,,,,,,,,,,,,,
522,131,130,130,132,130,129,131,130,129,128,130,131,86,91,81,95
517,127,128,129,130,127,130,128,128,127,128,129,127,56,87,71,68
518,,,,,,,,,,,,,,,,
516,131,129,131,129,130,129,132,128,129,127,130,128,,,,
519,,,,,,,,,,,,,,,,
517,,,,,130,132,128,127,129,130,127,127,80,92,78,73
517,130,127,128,127,131,127,129,127,129,128,128,127,78,87,80,75
520,130,129,131,130,129,128,130,129,129,125,130,129,,,,
519,130,132,130,130,130,130,130,130,128,127,128,128,86,89,75,83
506,,,,,,,,,,,,,,,,
520,132,130,132,131,130,125,131,129,129,126,130,129,75,89,78,80
521,130,128,130,130,130,129,129,129,131,127,131,128,81,79,92,85
502,128,126,127,128,128,129,128,127,127,125,127,128,,,,
523,,,,,,,,,,,,,,,,
509,128,128,126,128,128,128,127,125,128,126,125,128,,,,
521,131,131,128,128,130,129,129,127,129,128,130,127,80,91,83,92
527,130,132,131,132,,,,,,,,,,,,
526,131,128,131,130,130,132,131,128,131,130,131,129,86,94,98,93
526,132,130,132,131,132,132,132,132,132,131,132,131,100,100,100,100
512,127,127,127,129,127,126,128,127,128,127,125,126,,,,
519,,,,,,,,,,,,,,,,
514,128,126,128,127,128,125,127,126,128,124,127,127,0,0,0,0
521,130,128,130,130,131,129,129,128,129,129,131,129,85,87,92,80
503,,,,,125,129,125,124,124,126,122,124,58,75,58,68
524,132,130,132,130,132,130,131,130,131,130,131,130,,,,
523,129,128,131,129,128,129,130,129,127,128,127,129,85,87,80,90
490,,,,,,,,,,,,,,,,
524,131,130,132,130,130,129,131,130,131,130,130,130,93,87,88,86
524,,,,,132,129,131,128,,,,,,,,
520,,,,,,,,,,,,,,,,
519,130,131,129,130,128,131,130,127,127,129,130,130,,,,
523,129,129,130,131,128,129,129,127,130,129,127,130,,,,
518,130,131,130,128,130,131,129,127,128,132,130,127,,,,
518,128,129,128,130,128,129,128,127,128,126,128,127,,,,
515,128,125,130,131,128,126,130,129,128,125,129,129,,,,
523,131,128,132,131,130,132,131,130,131,129,132,131,90,92,85,92
525,,,,,,,,,,,,,,,,
520,129,130,128,132,128,128,128,127,129,129,130,131,,,,
523,132,128,131,131,130,131,129,130,130,130,132,130,85,89,83,86
515,131,126,128,126,128,124,127,126,128,125,128,125,,,,
518,131,129,127,129,129,130,130,127,129,126,127,128,,,,
525,132,132,132,131,131,132,130,129,131,129,132,127,86,98,92,90
520,128,132,130,129,126,131,130,128,128,130,128,129,,,,
521,,,,,,,,,,,,,,,,
520,130,131,131,130,129,130,130,130,129,131,130,129,68,89,86,73
509,127,126,128,126,125,124,127,126,126,127,127,127,,,,
511,,,,,130,125,129,125,130,125,130,129,,,,
520,130,128,131,131,130,128,130,130,130,127,129,127,86,87,85,85
520,130,130,128,130,127,129,130,129,128,131,130,130,77,95,96,90
526,131,130,132,132,132,130,131,128,131,130,130,130,81,94,95,93
514,129,124,129,128,130,130,130,128,129,130,128,128,71,91,78,80
519,,,,,128,130,131,128,128,131,131,129,,,,
513,128,128,126,126,127,130,128,128,127,130,127,129,,,,
521,129,130,132,132,130,130,130,129,130,131,130,132,88,95,97,83
516,129,128,129,130,130,128,129,130,129,128,129,129,75,91,86,85
521,130,127,130,131,130,130,132,128,130,126,130,130,,,,
507,127,127,127,128,,,,,,,,,,,,
513,125,130,131,127,126,128,128,130,126,127,129,127,63,87,90,81
521,130,129,129,130,130,132,128,128,128,132,130,130,83,81,71,83
508,128,127,128,128,127,125,127,126,127,122,128,127,127,129,125,127
514,128,126,129,132,128,125,128,129,128,125,128,129,76,87,80,80
506,127,125,128,126,127,129,127,125,126,126,126,126,63,92,66,85
518,131,127,132,129,130,128,129,128,130,130,131,130,,,,
521,131,131,132,130,130,130,131,130,131,130,130,129,76,89,88,73
522,128,128,128,128,129,129,130,128,130,129,127,128,,,,
523,130,129,132,132,132,129,132,130,128,128,131,129,85,92,97,92
517,,,,,,,,,,,,,,,,
518,,,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,,,
503,,,,,,,,,,,,,,,,
521,132,126,132,130,130,128,131,131,130,127,130,131,90,98,97,85
521,129,129,128,132,128,129,130,129,126,129,128,126,88,87,95,93
522,,,,,,,,,,,,,,,,
518,130,126,127,130,129,129,127,126,129,127,126,126,,,,
522,131,130,131,132,130,130,131,131,129,128,130,130,,,,
509,130,130,130,128,128,128,129,128,127,126,128,126,,,,
502,,,,,,,,,,,,,,,,
499,,,,,,,,,,,,,,,,
512,128,129,130,129,129,129,129,129,126,124,127,124,,,,
525,,,,,,,,,,,,,,,,
509,128,128,128,126,129,129,124,125,125,126,125,127,,,,
506,126,124,128,127,125,123,127,127,126,124,127,127,,,,
528,,,,,,,,,,,,,,,,
516,129,131,129,128,129,129,130,128,129,128,130,129,63,89,76,81
521,130,128,131,130,130,128,130,128,129,126,129,129,83,85,86,85
518,,,,,,,,,,,,,,,,
